Port,SupplyDemand,Num Samples
Gwangyang-11ecb2ca4f7f,Supply,186
Haifa-3a42a4f6784e,Demand,149
Halsskov-67355b8e1ffe,Demand,2819
Halul-b31f44d24105,Supply,41
Hambantota-597b12547c60,Demand,374
Hambantota-597b12547c60,Supply,31
Hamble-253db081b2ef,Supply,47
Hamburg-063772b8f28b,Demand,45
Hamriyah Free Zone-2f684e795984,Demand,890
Hamriyah Free Zone-2f684e795984,Supply,17
Hartlepool-3ef4e9aa5ca8,Supply,21
Hastings-13abbef165b1,Demand,12
Hastings-89c8c399cf20,Supply,138
Hasvik-6cb08609d706,Supply,242
Hazira-5289b55a7b2a,Supply,20
Heidrun Field-f189358c23bc,Supply,226
Helgoland-c47a1ee22838,Demand,10
Helgoland-c47a1ee22838,Supply,9
Hempstead Harbour-2bf2cd41bbbb,Supply,48
Hidaka-780e273f0325,Demand,14
Hitakatsu-c69c95ac77ac,Demand,160
Hitakatsu-c69c95ac77ac,Supply,21
Hong Kong-0c90bc71ba92,Demand,52
Hong Kong-0c90bc71ba92,Supply,156
Honningsvag-7b9b43d5fd04,Demand,909
Honningsvag-7b9b43d5fd04,Supply,71
Honolulu-c946080c104a,Demand,22
Honolulu-c946080c104a,Supply,148
Hososhima Ko-a8c3b1f57b21,Demand,10
Hound Point-199882e34b06,Supply,496
Houston-453dd058edad,Demand,672
Houston-453dd058edad,Supply,153
Huanghua-501489ae5cef,Demand,32
Huanghua-501489ae5cef,Supply,13
Hudson Terminal-6bffa5cfeb7a,Supply,28
Huelva-8b415901e849,Demand,2704
Huizhou Terminal-5f8d257641f5,Supply,374
Huizhou-59dc66ffb6ae,Demand,9
Huizhou-59dc66ffb6ae,Supply,225
Huludao Gang-a3da10e3c819,Demand,181
Huludao Gang-a3da10e3c819,Supply,16
Icdas-bdb5025eb89f,Demand,11
Icdas-bdb5025eb89f,Supply,12
Imam Hasan-5e2120e8c00f,Supply,40
Immingham-03154ce774bb,Demand,211
Incheon-e1adfc095464,Demand,23
Irako-640c479c6310,Demand,22
Ishigaki-db841a8241a4,Demand,10
Isla Taboguilla-18cc376c453a,Demand,82
Isla Taboguilla-18cc376c453a,Supply,90
Istanbul-5b38615ba682,Demand,1650
Istanbul-5b38615ba682,Supply,13
Itaqui-c457a428c3f7,Demand,398
Iwakuni Ko-3ec9f7fd5723,Demand,337
Izuhara-ee439c3cbfc0,Demand,160
Jakarta-9cac7206c0ef,Demand,11
Jakarta-9cac7206c0ef,Supply,485
Jask-1817bd28cf9f,Demand,61
Jask-1817bd28cf9f,Supply,16
Jawaharlal Nehru-61a68ba39082,Supply,45
Jazireh-ye Sirri-ae52aab2f31b,Supply,15
Jebel Ali-c5a22157b696,Demand,17
Jebel Dhanna-4c73169e04bb,Supply,52
Jeddah-17dce7ee2e7d,Demand,1931
Jeddah-17dce7ee2e7d,Supply,25
Jeju-04d83fba8e92,Demand,91
Jieh-a3c0fd89df46,Demand,110
Jing Tang-d63c27036294,Demand,107
Jing Tang-d63c27036294,Supply,35
Jinghai-cc7e1300b78d,Supply,28
Jinzhou Wan-15248fa643b9,Demand,1167
Jinzhou Wan-15248fa643b9,Supply,11
Jizan-2b3fce189dd6,Demand,130
Jizan-2b3fce189dd6,Supply,220
Jose Ignacio-5cdb9d8087e6,Demand,68
Jounieh-6929b1988d12,Demand,19
Kalaeloa Barbers Point Harbor-fb6ec6d1b3e5,Demand,36
Kalaeloa Barbers Point Harbor-fb6ec6d1b3e5,Supply,23
Kalamata-017d361a10bc,Demand,402
Kalamata-017d361a10bc,Supply,78
Kali Limenes-4a137f39ea06,Demand,12
Kali Limenes-4a137f39ea06,Supply,318
Kalianget-b25d6300cd99,Supply,88
